Company,Record_ID,Snapshot_Month,Month_Name,Year,Quarter,Region,Country,Account_ID,Account_Name,Customer_Segment,Plan_Tier,Signup_Date,Account_Status,Seats_Licensed,MRR (Monthly Recurring Revenue),ARR (Annual Recurring Revenue),New_MRR (Monthly Recurring Revenue),Expansion_MRR (Monthly Recurring Revenue),Contraction_MRR (Monthly Recurring Revenue),Churned_MRR (Monthly Recurring Revenue),Net_MRR_Change (Monthly Recurring Revenue),CAC_USD (Customer Acquisition Cost),Marketing_Channel,Activation_Status,Days_to_Activation,Monthly_Logins,Feature_Adoption_Score,Support_Tickets,NPS_Score (Net Promoter Score),Churn_Reason
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800724,2024-01,Jan-2024,2024,Q1,APAC,Australia,ACC00066,RapidGroup #0066,SMB,Starter,2024-01-01,Active,4,101.16,1213.92,101.16,0.0,0.0,0.0,101.16,2096.96,Outbound Sales,Not Activated,,9.9,0.0,1,31.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800725,2024-02,Feb-2024,2024,Q1,APAC,Australia,ACC00066,RapidGroup #0066,SMB,Starter,2024-01-01,Active,4,101.16,1213.92,0.0,0.0,0.0,0.0,0.0,0.0,Outbound Sales,Not Activated,,0.0,53.3,1,14.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800726,2024-03,Mar-2024,2024,Q1,APAC,Australia,ACC00066,RapidGroup #0066,SMB,Starter,2024-01-01,Active,4,101.16,1213.92,0.0,0.0,0.0,0.0,0.0,0.0,Outbound Sales,Not Activated,,0.8,37.7,6,-39.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801347,2024-03,Mar-2024,2024,Q1,Europe,France,ACC00121,BlueStudio #0121,SMB,Growth,2024-03-01,Active,11,446.13,5353.56,446.13,0.0,0.0,0.0,446.13,275.21,Content/Inbound,Activated,4.0,11.7,78.6,1,46.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802285,2024-03,Mar-2024,2024,Q1,LATAM,Brazil,ACC00222,WaveSystems #0222,Mid-Market,Professional,2024-03-01,Active,34,1939.93,23279.16,1939.93,0.0,0.0,0.0,1939.93,193.22,Referral,Activated,3.0,18.7,75.7,1,35.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800325,2024-04,Apr-2024,2024,Q2,LATAM,Mexico,ACC00029,PrimeGroup #0029,Mid-Market,Professional,2024-04-01,Active,14,739.31,8871.72,739.31,0.0,0.0,0.0,739.31,188.45,Organic Search,Activated,1.0,30.3,74.5,4,8.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800470,2024-04,Apr-2024,2024,Q2,LATAM,Mexico,ACC00040,VertexVentures #0040,SMB,Growth,2024-04-01,Active,6,310.47,3725.64,310.47,0.0,0.0,0.0,310.47,359.14,Organic Search,Activated,1.0,13.4,67.5,1,75.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS800727,2024-04,Apr-2024,2024,Q2,APAC,Australia,ACC00066,RapidGroup #0066,SMB,Starter,2024-01-01,Active,4,101.16,1213.92,0.0,0.0,0.0,0.0,0.0,0.0,Outbound Sales,Not Activated,,7.9,28.7,4,14.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS801348,2024-04,Apr-2024,2024,Q2,Europe,France,ACC00121,BlueStudio #0121,SMB,Growth,2024-03-01,Active,11,446.13,5353.56,0.0,0.0,0.0,0.0,0.0,0.0,Content/Inbound,Activated,4.0,16.0,54.1,2,82.0,
CloudPeak SaaS Inc. (Fictional Dummy Company),SAAS802286,2024-04,Apr-2024,2024,Q2,LATAM,Brazil,ACC00222,WaveSystems #0222,Mid-Market,Professional,2024-03-01,Active,34,1939.93,23279.16,0.0,0.0,0.0,0.0,0.0,0.0,Referral,Activated,3.0,23.8,61.2,2,51.0,
